암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDYjJDgz,21세기건강약국,약국,광주광역시,광산구,"광주광역시 광산구 임방울대로 166, 1층 (운남동)",해당사항없음,2011-04-14
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxOTYxIzMxIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,21세기건강약국,약국,울산광역시,남구,울산광역시 남구 삼산중로 125 (삼산동),해당사항없음,2001-09-20
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxOTYxIzMxIyQxIyQzIyQ3MiQ0NjEwMDIjNTEjJDEjJDIjJDgz,21세기경희한의원,한의원,경기도,안산시 단원구,"경기도 안산시 단원구 광덕동로 55, 21세기프라자 302호 (고잔동)",한방,2001-11-08
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,21세기고려약국,약국,서울특별시,성북구,서울특별시 성북구 고려대로 80 (안암동5가),해당사항없음,2002-05-28
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNjEjJDEjJDQjJDgz,21세기길약국,약국,인천광역시,남동구,"인천광역시 남동구 독점로29번길 30, 103,105호 (구월동)",해당사항없음,2005-04-08
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ3OSQyNjE4MzIjNzEjJDEjJDgjJDgz,21세기내과의원,의원,대구광역시,수성구,"대구광역시 수성구 화랑로 122, 1~2층 (만촌동)",내과,2005-08-26
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,21세기내과의원,의원,경상남도,창원시 성산구,"경상남도 창원시 성산구 반송로 150 (반림동, 회성빌딩3층)",내과,2007-01-10
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,21세기내과의원,의원,경기도,양주시,"경기도 양주시 고읍남로 6-16 (광사동, 광장프라자 3층)",내과,2010-03-02
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,21세기마취통증의학과의원,의원,충청북도,청주시 서원구,충청북도 청주시 서원구 사직대로81번길 4 (사창동),마취통증의학과,1997-11-26
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,21세기맑은약국,약국,인천광역시,부평구,"인천광역시 부평구 길주로 623, 지하2층 (삼산동)",해당사항없음,2007-12-20
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,21세기메디칼약국,약국,서울특별시,성동구,서울특별시 성동구 무수막길 97 (금호동2가),해당사항없음,1975-10-28
